河道地形							
420							
72	断面1943	1009573.6	0.016				
梯形	1	20	68.5458	75.4608	3		
73	断面1944	1010093	0.016				
梯形	1	20	68.515	75.441	3		
74	断面1945	1010633	0.016				
梯形	1	21.5	68.49342857	75.41942857	2.5		
75	断面1946	1011173	0.016				
梯形	1	21.5	68.47185714	75.39785714	2.5		
76	断面1947	1011713	0.016				
梯形	1	21.5	68.45028571	75.37628571	2.5		
77	断面1948	1012253	0.016				
梯形	1	21.5	68.42871429	75.35471429	2.5		
78	断面1949	1012793	0.016				
梯形	1	21.5	68.40714286	75.33314286	2.5		
79	断面1950	1013333	0.016				
梯形	1	21.5	68.38557143	75.31157143	2.5		
80	断面1951	1013873	0.016				
梯形	1	21.5	68.364	75.293	2.5		
81	断面1952	1014499.5	0.016				
梯形	1	21.5	68.362	75.291	2.5		
82	断面1953	1015126	0.016				
梯形	1	21.5	68.36	75.29	2.5		
83	断面1954	1017430	0.016				
梯形	1	21.5	67.574	74.504	2.5		
84	断面1955	1017435	0.016				
梯形	1	21.5	67.574	74.504	2.5		
85	断面1956	1017798	0.016				
梯形	1	21.5	67.51	74.442	2.5		
86	断面1957	1018309.188	0.016				
梯形	1	20	67.4895625	74.4215625	3		
87	断面1958	1018820.375	0.016				
梯形	1	20	67.469125	74.401125	3		
88	断面1959	1019331.563	0.016				
梯形	1	20	67.4486875	74.3806875	3		
89	断面1960	1019842.75	0.016				
梯形	1	20	67.42825	74.36025	3		
90	断面1961	1020353.938	0.016				
梯形	1	20	67.4078125	74.3398125	3		
91	断面1962	1020865.125	0.016				
梯形	1	20	67.387375	74.319375	3		
92	断面1963	1021376.313	0.016				
梯形	1	20	67.3669375	74.2989375	3		
93	断面1964	1021887.5	0.016				
梯形	1	20	67.3465	74.2785	3		
94	断面1965	1022398.688	0.016				
梯形	1	20	67.3260625	74.2580625	3		
95	断面1966	1022909.875	0.016				
梯形	1	20	67.305625	74.237625	3		
96	断面1967	1023421.063	0.016				
梯形	1	20	67.2851875	74.2171875	3		
97	断面1968	1023932.25	0.016				
梯形	1	20	67.26475	74.19675	3		
98	断面1969	1024443.438	0.016				
梯形	1	20	67.2443125	74.1763125	3		
99	断面1970	1024954.625	0.016				
梯形	1	20	67.223875	74.155875	3		
100	断面1971	1025465.813	0.016				
梯形	1	20	67.2034375	74.1354375	3		
101	断面1972	1025977	0.016				
梯形	1	20	67.183	74.14	3		
102	断面1973	1026150	0.016				
矩形	3	6.3	67.026	75.026			
103	断面1974	1026663.222	0.016				
梯形	1	21.5	67.011	73.956	2.5		
104	断面1975	1027176.444	0.016				
梯形	1	21.5	66.996	73.941	2.5		
105	断面1976	1027689.667	0.016				
梯形	1	21.5	66.981	73.926	2.5		
106	断面1977	1028202.889	0.016				
梯形	1	21.5	66.966	73.911	2.5		
107	断面1978	1028716.111	0.016				
梯形	1	21.5	66.951	73.896	2.5		
108	断面1979	1029229.333	0.016				
梯形	1	21.5	66.936	73.881	2.5		
109	断面1980	1029742.556	0.016				
梯形	1	21.5	66.921	73.866	2.5		
110	断面1981	1030255.778	0.016				
梯形	1	21.5	66.906	73.851	2.5		
111	断面1982	1030769	0.016				
梯形	1	21.5	66.891	73.844	2.5		
112	断面1983	1031350.5	0.016				
梯形	1	20	66.85933333	73.81233333	2.5		
113	断面1984	1031932	0.016				
梯形	1	20	66.82766667	73.78066667	2.5		
114	断面1985	1032513.5	0.016				
梯形	1	20	66.796	73.749	2.5		
115	断面1986	1033095	0.016				
梯形	1	20	66.76433333	73.71733333	2.5		
116	断面1987	1033676.5	0.016				
梯形	1	20	66.73266667	73.68566667	2.5		
117	断面1988	1034258	0.016				
梯形	1	20	66.701	73.668	2.5		
118	断面1989	1035955	0.016				
梯形	1	20	66.516	73.483	2.5		
119	断面1990	1036023	0.016				
梯形	1	20	66.515	73.481	2.5		
120	断面1991	1036811	0.016				
梯形	1	16.5	66.488	73.446	2.5		
121	断面1992	1036963	0.016				
梯形	1	16.5	66.321	73.281	2.5		
122	断面1993	1036968	0.016				
梯形	1	16.5	66.321	73.281	2.5		
123	断面1994	1037475	0.016				
梯形	1	16.5	66.3025	73.2625	2.5		
124	断面1995	1037987	0.016				
梯形	1	16.5	66.284	73.245	2.5		
125	断面1996	1038535.3	0.016				
梯形	1	15	66.2564	73.2174	3		
126	断面1997	1039083.6	0.016				
梯形	1	15	66.2288	73.1898	3		
127	断面1998	1039631.9	0.016				
梯形	1	15	66.2012	73.1622	3		
128	断面1999	1040180.2	0.016				
梯形	1	15	66.1736	73.1346	3		
129	断面2000	1040728.5	0.016				
梯形	1	15	66.146	73.107	3		
130	断面2001	1041276.8	0.016				
梯形	1	15	66.1184	73.0794	3		
131	断面2002	1041825.1	0.016				
梯形	1	15	66.0908	73.0518	3		
132	断面2003	1042373.4	0.016				
梯形	1	15	66.0632	73.0242	3		
133	断面2004	1042921.7	0.016				
梯形	1	15	66.0356	72.9966	3		
134	断面2005	1043470	0.016				
梯形	1	15	66.008	72.99	3		
135	断面2006	1044146	0.016				
梯形	1	15	66.003	72.985	3		
136	断面2007	1044822	0.016				
梯形	1	15	65.998	72.981	3		
137	断面2008	1046196	0.016				
梯形	1	21.5	65.785	72.468	2.5		
138	断面2009	1046252	0.016				
梯形	1	21.5	65.953	72.438	2.5		
139	断面2010	1046257	0.012				
梯形	1	21.5	65.953	72.438	2.5		
140	断面2011	1046771.905	0.012				
梯形	1	23	65.93128571	72.41628571	2		
141	断面2012	1047291.81	0.012				
梯形	1	23	65.90957143	72.39457143	2		
142	断面2013	1047811.714	0.012				
梯形	1	23	65.88785714	72.37285714	2		
143	断面2014	1048331.619	0.012				
梯形	1	23	65.86614286	72.35114286	2		
144	断面2015	1048851.524	0.012				
梯形	1	23	65.84442857	72.32942857	2		
145	断面2016	1049371.429	0.012				
梯形	1	23	65.82271429	72.30771429	2		
146	断面2017	1049891.333	0.012				
梯形	1	23	65.801	72.286	2		
147	断面2018	1050411.238	0.012				
梯形	1	23	65.77928571	72.26428571	2		
148	断面2019	1050931.143	0.012				
梯形	1	23	65.75757143	72.24257143	2		
149	断面2020	1051451.048	0.012				
梯形	1	23	65.73585714	72.22085714	2		
150	断面2021	1051970.952	0.012				
梯形	1	23	65.71414286	72.19914286	2		
151	断面2022	1052490.857	0.012				
梯形	1	23	65.69242857	72.17742857	2		
152	断面2023	1053010.762	0.012				
梯形	1	23	65.67071429	72.15571429	2		
153	断面2024	1053530.667	0.012				
梯形	1	23	65.649	72.134	2		
154	断面2025	1054050.571	0.012				
梯形	1	23	65.62728571	72.11228571	2		
155	断面2026	1054570.476	0.012				
梯形	1	23	65.60557143	72.09057143	2		
156	断面2027	1055090.381	0.012				
梯形	1	23	65.58385714	72.06885714	2		
157	断面2028	1055610.286	0.012				
梯形	1	23	65.56214286	72.04714286	2		
158	断面2029	1056130.19	0.012				
梯形	1	23	65.54042857	72.02542857	2		
159	断面2030	1056650.095	0.012				
梯形	1	23	65.51871429	72.00371429	2		
160	断面2031	1057170	0.012				
梯形	1	23	65.497	72.006	2		
161	断面2032	1057820	0.012				
梯形	1	21.5	65.45766667	71.96666667	2.5		
162	断面2033	1058470	0.012				
梯形	1	21.5	65.41833333	71.92733333	2.5		
163	断面2034	1059120	0.012				
梯形	1	21.5	65.379	71.9	2.5		
164	断面2035	1059682.75	0.012				
梯形	1	21.5	65.3785	71.8995	2.5		
165	断面2036	1060245.5	0.012				
梯形	1	21.5	65.378	71.899	2.5		
166	断面2037	1060808.25	0.012				
梯形	1	21.5	65.3775	71.8985	2.5		
167	断面2038	1061371	0.012				
梯形	1	21.5	65.377	71.898	2.5		
168	断面2039	1062020.5	0.012				
梯形	1	18.5	65.3145	71.8355	2.5		
169	断面2040	1062670	0.012				
梯形	1	18.5	65.252	71.786	2.5		
170	断面2041	1063183.333	0.012				
梯形	1	21.5	65.2348	71.7688	2.5		
171	断面2042	1063696.667	0.012				
梯形	1	21.5	65.2176	71.7516	2.5		
172	断面2043	1064210	0.012				
梯形	1	21.5	65.2004	71.7344	2.5		
173	断面2044	1064723.333	0.012				
梯形	1	21.5	65.1832	71.7172	2.5		
174	断面2045	1065236.667	0.012				
梯形	1	21.5	65.166	71.7	2.5		
175	断面2046	1065750	0.012				
梯形	1	21.5	65.1488	71.6828	2.5		
176	断面2047	1066263.333	0.012				
梯形	1	21.5	65.1316	71.6656	2.5		
177	断面2048	1066776.667	0.012				
梯形	1	21.5	65.1144	71.6484	2.5		
178	断面2049	1067290	0.012				
梯形	1	21.5	65.0972	71.6312	2.5		
179	断面2050	1067803.333	0.012				
梯形	1	21.5	65.08	71.614	2.5		
180	断面2051	1068316.667	0.012				
梯形	1	21.5	65.0628	71.5968	2.5		
181	断面2052	1068830	0.012				
梯形	1	21.5	65.0456	71.5796	2.5		
182	断面2053	1069343.333	0.012				
梯形	1	21.5	65.0284	71.5624	2.5		
183	断面2054	1069856.667	0.012				
梯形	1	21.5	65.0112	71.5452	2.5		
184	断面2055	1070370	0.012				
梯形	1	21.5	64.994	71.539	2.5		
185	断面2056	1071103.5	0.012				
梯形	1	21.5	64.9655	71.5105	2.5		
186	断面2057	1071837	0.012				
梯形	1	21.5	64.937	71.485	2.5		
187	断面2058	1071842	0.012				
梯形	1	21.5	64.937	71.485	2.5		
188	断面2059	1071877	0.012				
矩形	3	7	65.151	72.151			
189	断面2060	1071897	0.012				
矩形	3	7	65.105	72.105			
190	断面2061	1072442.3	0.012				
梯形	1	21.5	64.7761	71.3121	2.5		
191	断面2062	1072987.6	0.012				
梯形	1	21.5	64.7552	71.2912	2.5		
192	断面2063	1073532.9	0.012				
梯形	1	21.5	64.7343	71.2703	2.5		
193	断面2064	1074078.2	0.012				
梯形	1	21.5	64.7134	71.2494	2.5		
194	断面2065	1074623.5	0.012				
梯形	1	21.5	64.6925	71.2285	2.5		
195	断面2066	1075168.8	0.012				
梯形	1	21.5	64.6716	71.2076	2.5		
196	断面2067	1075714.1	0.012				
梯形	1	21.5	64.6507	71.1867	2.5		
197	断面2068	1076259.4	0.012				
梯形	1	21.5	64.6298	71.1658	2.5		
198	断面2069	1076804.7	0.012				
梯形	1	21.5	64.6089	71.1449	2.5		
199	断面2070	1077350	0.012				
梯形	1	21.5	64.588	71.144	2.5		
200	断面2071	1077540	0.012				
梯形	1	21.5	64.531	71.092	2.5		
201	断面2072	1078320	0.012				
梯形	1	20	64.492	71.056	2		
202	断面2073	1078944.5	0.012				
梯形	1	20	64.4725	71.0365	2		
203	断面2074	1079569	0.012				
梯形	1	20	64.453	71.019	2		
204	断面2075	1080184.667	0.012				
梯形	1	23	64.42233333	70.98833333	2		
205	断面2076	1080800.333	0.012				
梯形	1	23	64.39166667	70.95766667	2		
206	断面2077	1081416	0.012				
梯形	1	23	64.361	70.942	2		
207	断面2078	1081926	0.012				
梯形	1	18.5	64.33566667	70.91666667	2.5		
208	断面2079	1082436	0.012				
梯形	1	18.5	64.31033333	70.89133333	2.5		
209	断面2080	1082946	0.012				
梯形	1	18.5	64.285	70.871	2.5		
210	断面2081	1083425	0.012				
梯形	1	21.5	64.266	70.86	2.5		
211	断面2082	1084050	0.012				
梯形	1	21.5	64.265	70.859	2.5		
212	断面2083	1084675	0.012				
梯形	1	21.5	64.264	70.859	2.5		
213	断面2084	1084680	0.012				
梯形	1	21.5	64.264	70.859	2.5		
214	断面2085	1085044	0.012				
梯形	1	21	64.14	70.729	2		
215	断面2086	1085587	0.012				
梯形	1	21	64.1	70.689	2		
216	断面2087	1086130	0.012				
梯形	1	21	64.06	70.649	2		
217	断面2088	1086673	0.012				
梯形	1	21	64.02	70.609	2		
218	断面2089	1087216	0.012				
梯形	1	21	63.98	70.586	2		
219	断面2090	1087843.5	0.012				
梯形	1	20	63.9485	70.5545	2		
220	断面2091	1088471	0.012				
梯形	1	20	63.917	70.535	2		
221	断面2092	1089016.4	0.012				
梯形	1	23	63.8952	70.5132	2		
222	断面2093	1089561.8	0.012				
梯形	1	23	63.8734	70.4914	2		
223	断面2094	1090107.2	0.012				
梯形	1	23	63.8516	70.4696	2		
224	断面2095	1090652.6	0.012				
梯形	1	23	63.8298	70.4478	2		
225	断面2096	1091198	0.012				
梯形	1	23	63.808	70.439	2		
226	断面2097	1091845.667	0.012				
梯形	1	18.5	63.77566667	70.40666667	2.5		
227	断面2098	1092493.333	0.012				
梯形	1	18.5	63.74333333	70.37433333	2.5		
228	断面2099	1093141	0.012				
梯形	1	18.5	63.711	70.355	2.5		
229	断面2100	1093648	0.012				
城门形	2	7.5	62.679	6.2	4.33		
230	断面2101	1094155	0.012				
城门形	2	7.5	62.647	6.2	4.33		
231	断面2102	1094662	0.012				
城门形	2	7.5	62.615	6.2	4.33		
232	断面2103	1095169	0.012				
城门形	2	7.5	62.583	6.2	4.33		
233	断面2104	1095256	0.012				
梯形	1	18.5	63.441	70.075	2.5		
234	断面2105	1095819.333	0.012				
城门形	2	7.5	62.415	6.2	4.33		
235	断面2106	1096382.667	0.012				
城门形	2	7.5	62.389	6.2	4.33		
236	断面2107	1096946	0.012				
城门形	2	7.5	62.363	6.2	4.33		
237	断面2108	1097584	0.012				
梯形	1	21.5	63.09	69.647	2.5		
238	断面2109	1098493	0.012				
梯形	1	21.5	63.05	69.61	2.5		
239	断面2110	1099079.8	0.012				
梯形	1	18.5	63.0204	69.5804	2.5		
240	断面2111	1099666.6	0.012				
梯形	1	18.5	62.9908	69.5508	2.5		
241	断面2112	1100253.4	0.012				
梯形	1	18.5	62.9612	69.5212	2.5		
242	断面2113	1100840.2	0.012				
梯形	1	18.5	62.9316	69.4916	2.5		
243	断面2114	1101427	0.012				
梯形	1	18.5	62.902	69.482	2.5		
244	断面2115	1102004.2	0.012				
梯形	1	21.5	62.878	69.458	2.5		
245	断面2116	1102581.4	0.012				
梯形	1	21.5	62.854	69.434	2.5		
246	断面2117	1103158.6	0.012				
梯形	1	21.5	62.83	69.41	2.5		
247	断面2118	1103735.8	0.012				
梯形	1	21.5	62.806	69.386	2.5		
248	断面2119	1104313	0.012				
梯形	1	21.5	62.782	69.378	2.5		
249	断面2120	1104685	0.012				
梯形	1	19.5	62.775	69.367	2.5		
250	断面2121	1105239.25	0.012				
城门形	2	7.8	61.9805	5.9	4.503		
251	断面2122	1105793.5	0.012				
城门形	2	7.8	61.886	5.9	4.503		
252	断面2123	1106347.75	0.012				
城门形	2	7.8	61.7915	5.9	4.503		
253	断面2124	1106902	0.012				
城门形	2	7.8	61.697	5.9	4.503		
254	断面2125	1107449.75	0.012				
梯形	1	19.5	62.306	68.869	2.5		
255	断面2126	1107997.5	0.012				
梯形	1	19.5	62.285	68.848	2.5		
256	断面2127	1108545.25	0.012				
梯形	1	19.5	62.264	68.827	2.5		
257	断面2128	1109093	0.012				
梯形	1	19.5	62.243	68.815	2.5		
258	断面2129	1109621	0.012				
矩形	3	6	62.131	67.531			
259	断面2130	1110149	0.012				
矩形	3	6	61.848	67.248			
260	断面2131	1110179	0.012				
梯形	1	26.5	61.524	68.046	2		
261	断面2132	1110810.667	0.012				
梯形	1	26.5	61.512	68.034	2		
262	断面2133	1111442.333	0.012				
梯形	1	26.5	61.5	68.022	2		
263	断面2134	1111447.333	0.012				
梯形	1	26.5	61.5	68.022	2		
264	断面2135	1112074	0.012				
梯形	1	26.5	61.488	68.01	2		
265	断面2136	1112666.667	0.012				
城门形	2	7.8	60.502	6	4.503		
266	断面2137	1113259.333	0.012				
城门形	2	7.8	60.416	6	4.503		
267	断面2138	1113852	0.012				
城门形	2	7.8	60.33	6	4.503		
268	断面2139	1114195	0.012				
梯形	1	22.5	61.118	67.61	2.75		
269	断面2140	1114722.333	0.012				
梯形	1	20.5	61.09933333	67.59133333	2		
270	断面2141	1115249.667	0.012				
梯形	1	20.5	61.08066667	67.57266667	2		
271	断面2142	1115777	0.012				
梯形	1	20.5	61.062	67.567	2		
272	断面2143	1116505.5	0.012				
梯形	1	17	61.037	67.542	2.5		
273	断面2144	1117234	0.012				
梯形	1	17	61.012	67.521	2.5		
274	断面2145	1117250	0.012				
梯形	1	25	60.966	67.466	3		
275	断面2146	1117631	0.012				
梯形	1	25	60.939	67.442	3		
276	断面2147	1117864	0.012				
梯形	1	17	60.894	67.409	2.5		
277	断面2148	1118414.857	0.012				
梯形	1	19.5	60.87685714	67.39185714	2.5		
278	断面2149	1118965.714	0.012				
梯形	1	19.5	60.85971429	67.37471429	2.5		
279	断面2150	1119516.571	0.012				
梯形	1	19.5	60.84257143	67.35757143	2.5		
280	断面2151	1120067.429	0.012				
梯形	1	19.5	60.82542857	67.34042857	2.5		
281	断面2152	1120618.286	0.012				
梯形	1	19.5	60.80828571	67.32328571	2.5		
282	断面2153	1121169.143	0.012				
梯形	1	19.5	60.79114286	67.30614286	2.5		
283	断面2154	1121720	0.012				
梯形	1	19.5	60.774	67.305	2.5		
284	断面2155	1121840	0.012				
梯形	1	14.5	60.773	67.291	2.5		
285	断面2156	1121845	0.012				
梯形	1	14.5	60.773	67.291	2.5		
286	断面2157	1121870	0.012				
梯形	1	14.5	60.773	67.291	2.5		
287	断面2158	1122377	0.012				
梯形	1	14.5	60.70533333	67.22333333	2.5		
288	断面2159	1122884	0.012				
梯形	1	14.5	60.63766667	67.15566667	2.5		
289	断面2160	1123391	0.012				
梯形	1	14.5	60.57	67.024	2.5		
290	断面2161	1123978.8	0.012				
梯形	1	16.5	60.5504	67.0044	2.5		
291	断面2162	1124566.6	0.012				
梯形	1	16.5	60.5308	66.9848	2.5		
292	断面2163	1125154.4	0.012				
